-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in UTC
Location: Latitude  9.9   Longitude 115.54 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2022,1,1,0,242.07,11.78
2022,1,1,1,366.55,11.57
2022,1,1,2,432.95,11.36
2022,1,1,3,614.3,11.3
2022,1,1,4,701.08,11.36
2022,1,1,5,653.62,11.37
2022,1,1,6,544.25,11.35
2022,1,1,7,426.2,11.4
2022,1,1,8,245.82,11.57
2022,1,1,9,59.1,11.7
2022,1,1,10,0.0,11.93
2022,1,1,11,0.0,12.18
2022,1,1,12,0.0,12.39
2022,1,1,13,0.0,12.3
2022,1,1,14,0.0,12.02
2022,1,1,15,0.0,11.65
2022,1,1,16,0.0,11.35
2022,1,1,17,0.0,11.3
2022,1,1,18,0.0,11.33
2022,1,1,19,0.0,11.29
2022,1,1,20,0.0,11.31
2022,1,1,21,0.0,11.48
2022,1,1,22,5.45,11.71
2022,1,1,23,93.95,11.82
2022,1,2,0,282.7,11.83
2022,1,2,1,483.3,11.77
2022,1,2,2,570.42,11.66
2022,1,2,3,600.88,11.8
2022,1,2,4,549.92,11.93
2022,1,2,5,560.88,11.8
2022,1,2,6,370.92,11.7
2022,1,2,7,167.73,11.7
2022,1,2,8,103.25,11.86
2022,1,2,9,29.15,12.03
2022,1,2,10,0.0,12.04
2022,1,2,11,0.0,11.78
2022,1,2,12,0.0,11.69
2022,1,2,13,0.0,11.73
2022,1,2,14,0.0,11.74
2022,1,2,15,0.0,11.54
2022,1,2,16,0.0,11.4
2022,1,2,17,0.0,11.3
2022,1,2,18,0.0,11.16
2022,1,2,19,0.0,10.97
2022,1,2,20,0.0,10.79
2022,1,2,21,0.0,10.75
2022,1,2,22,3.45,10.84
2022,1,2,23,50.78,11.04
2022,1,3,0,152.65,11.18
2022,1,3,1,287.42,11.33
2022,1,3,2,286.58,11.42
2022,1,3,3,284.02,11.58
2022,1,3,4,350.02,11.54
2022,1,3,5,289.83,11.51
2022,1,3,6,267.15,11.26
2022,1,3,7,228.02,11.07
2022,1,3,8,98.45,10.94
2022,1,3,9,29.62,10.8
2022,1,3,10,0.0,10.87
2022,1,3,11,0.0,10.77
2022,1,3,12,0.0,10.67
2022,1,3,13,0.0,10.48
2022,1,3,14,0.0,10.17
2022,1,3,15,0.0,9.94
2022,1,3,16,0.0,9.85
2022,1,3,17,0.0,9.9
2022,1,3,18,0.0,10.08
2022,1,3,19,0.0,10.36
2022,1,3,20,0.0,10.67
2022,1,3,21,0.0,10.86
2022,1,3,22,1.4,10.9
2022,1,3,23,16.85,10.91
2022,1,4,0,27.52,10.78
2022,1,4,1,74.1,10.52
2022,1,4,2,157.32,10.08
2022,1,4,3,105.4,9.89
2022,1,4,4,97.53,9.95
2022,1,4,5,52.78,9.87
2022,1,4,6,38.9,9.61
2022,1,4,7,29.12,9.23
2022,1,4,8,18.83,8.87
2022,1,4,9,21.9,8.71
2022,1,4,10,0.0,8.67
2022,1,4,11,0.0,8.69
2022,1,4,12,0.0,8.75
2022,1,4,13,0.0,8.76
