-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in UTC
Location: Latitude  9.62   Longitude 112.97 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS50M
2022,1,1,0,208.2,12.91
2022,1,1,1,392.85,12.86
2022,1,1,2,537.08,12.7
2022,1,1,3,682.5,12.78
2022,1,1,4,708.4,12.83
2022,1,1,5,700.88,12.85
2022,1,1,6,596.3,12.69
2022,1,1,7,458.5,12.52
2022,1,1,8,267.85,12.47
2022,1,1,9,91.47,12.46
2022,1,1,10,0.0,12.5
2022,1,1,11,0.0,12.52
2022,1,1,12,0.0,12.47
2022,1,1,13,0.0,12.36
2022,1,1,14,0.0,12.22
2022,1,1,15,0.0,12.15
2022,1,1,16,0.0,11.96
2022,1,1,17,0.0,11.84
2022,1,1,18,0.0,11.88
2022,1,1,19,0.0,11.97
2022,1,1,20,0.0,11.76
2022,1,1,21,0.0,11.62
2022,1,1,22,0.0,11.8
2022,1,1,23,46.33,11.83
2022,1,2,0,133.27,11.7
2022,1,2,1,259.73,11.65
2022,1,2,2,229.98,11.59
2022,1,2,3,219.73,11.54
2022,1,2,4,211.55,11.42
2022,1,2,5,214.9,11.4
2022,1,2,6,188.02,11.37
2022,1,2,7,135.95,11.4
2022,1,2,8,55.72,11.46
2022,1,2,9,13.68,11.76
2022,1,2,10,0.75,12.19
2022,1,2,11,0.0,12.54
2022,1,2,12,0.0,12.41
2022,1,2,13,0.0,11.85
2022,1,2,14,0.0,11.43
2022,1,2,15,0.0,10.97
2022,1,2,16,0.0,10.66
2022,1,2,17,0.0,10.58
2022,1,2,18,0.0,10.59
2022,1,2,19,0.0,10.72
2022,1,2,20,0.0,10.73
2022,1,2,21,0.0,10.7
2022,1,2,22,0.0,10.87
2022,1,2,23,19.9,11.35
2022,1,3,0,56.22,11.64
2022,1,3,1,108.4,11.69
2022,1,3,2,164.07,11.65
2022,1,3,3,353.02,11.54
2022,1,3,4,362.27,11.12
2022,1,3,5,195.9,10.9
2022,1,3,6,75.75,10.76
2022,1,3,7,38.78,10.78
2022,1,3,8,36.1,10.94
2022,1,3,9,16.75,11.14
2022,1,3,10,1.45,11.43
2022,1,3,11,0.0,11.74
2022,1,3,12,0.0,11.88
2022,1,3,13,0.0,11.88
2022,1,3,14,0.0,11.94
2022,1,3,15,0.0,11.94
2022,1,3,16,0.0,11.82
2022,1,3,17,0.0,11.73
