service_rate_Total,service_rate_RT
100.0,100.0
100.0,100.0
100.0,100.0
100.0,100.0
98.0,90.0
95.0,80.0
92.86,80.0
91.25,80.0
90.0,80.0
88.0,70.0
86.36,70.0
83.33,50.0
80.77,50.0
78.57,50.0
76.0,40.0
73.12,30.0
70.0,20.0
67.78,30.0
65.79,30.0
64.5,40.0
63.33,40.0
62.27,40.0
61.3,40.0
59.58,20.0
58.0,20.0
56.54,20.0
55.19,20.0
53.93,20.0
52.76,20.0
51.67,20.0
50.97,30.0
50.31,30.0
49.7,30.0
49.41,40.0
49.14,40.0
48.89,40.0
48.65,40.0
48.68,50.0
48.46,40.0
48.25,40.0
48.05,40.0
47.86,40.0
47.67,40.0
47.5,40.0
47.33,40.0
47.39,50.0
47.45,50.0
47.5,50.0
47.55,50.0
47.6,50.0
47.84,60.0
47.88,50.0
47.92,50.0
47.96,50.0
48.0,50.0
48.04,50.0
47.89,40.0
47.59,30.0
47.29,30.0
47.0,30.0
46.72,30.0
46.45,30.0
46.19,30.0
45.78,20.0
45.38,20.0
45.0,20.0
44.78,30.0
44.56,30.0
44.35,30.0
44.14,30.0
43.94,30.0
43.75,30.0
43.56,30.0
43.38,30.0
43.2,30.0
43.03,30.0
42.86,30.0
42.69,30.0
42.53,30.0
42.38,30.0
42.22,30.0
42.07,30.0
42.05,40.0
42.02,40.0
42.0,40.0
41.98,40.0
41.95,40.0
41.93,40.0
41.91,40.0
41.89,40.0
41.76,30.0
41.63,30.0
41.51,30.0
41.28,20.0
41.16,30.0
41.04,30.0
40.93,30.0
40.82,30.0
40.71,30.0
40.6,30.0
40.59,40.0
40.59,40.0
40.58,40.0
40.58,40.0
40.57,40.0
40.57,40.0
40.56,40.0
40.56,40.0
40.55,40.0
40.45,30.0
40.36,30.0
40.27,30.0
40.18,30.0
40.09,30.0
40.0,30.0
39.91,30.0
39.83,30.0
39.75,30.0
39.66,30.0
39.58,30.0
39.5,30.0
39.34,20.0
39.27,30.0
39.19,30.0
39.12,30.0
39.05,30.0
38.98,30.0
38.91,30.0
38.84,30.0
38.77,30.0
38.7,30.0
38.64,30.0
38.57,30.0
38.51,30.0
38.44,30.0
38.38,30.0
38.39,40.0
38.41,40.0
38.49,50.0
38.57,50.0
38.58,40.0
38.59,40.0
38.6,40.0
38.54,30.0
38.48,30.0
38.36,20.0
38.23,20.0
38.11,20.0
37.99,20.0
37.93,30.0
37.88,30.0
37.83,30.0
37.78,30.0
37.73,30.0
37.68,30.0
37.69,40.0
37.71,40.0
37.66,30.0
37.61,30.0
37.56,30.0
37.52,30.0
37.47,30.0
37.42,30.0
37.32,20.0
37.21,20.0
37.11,20.0
37.01,20.0
36.9,20.0
36.8,20.0
36.71,20.0
36.61,20.0
36.57,30.0
36.59,40.0
36.55,30.0
36.57,40.0
36.59,40.0
36.55,30.0
36.52,30.0
36.48,30.0
36.44,30.0
36.41,30.0
36.37,30.0
36.34,30.0
36.3,30.0
36.27,30.0
36.24,30.0
36.2,30.0
36.17,30.0
36.14,30.0
36.16,40.0
36.18,40.0
36.15,30.0
36.11,30.0
36.08,30.0
36.05,30.0
36.02,30.0
35.99,30.0
35.96,30.0
35.88,20.0
35.8,20.0
35.72,20.0
35.64,20.0
35.57,20.0
35.49,20.0
35.46,30.0
35.44,30.0
35.41,30.0
35.38,30.0
35.36,30.0
35.33,30.0
35.31,30.0
35.24,20.0
35.16,20.0
35.09,20.0
35.02,20.0
34.95,20.0
34.88,20.0
34.82,20.0
34.75,20.0
34.68,20.0
34.62,20.0
34.55,20.0
34.53,30.0
34.55,40.0
34.58,40.0
34.6,40.0
34.58,30.0
34.56,30.0
34.54,30.0
34.52,30.0
34.5,30.0
34.44,20.0
34.38,20.0
34.32,20.0
34.26,20.0
34.19,20.0
34.14,20.0
34.08,20.0
34.06,30.0
34.04,30.0
33.98,20.0
33.93,20.0
33.87,20.0
33.85,30.0
33.84,30.0
33.82,30.0
33.81,30.0
33.79,30.0
33.78,30.0
33.76,30.0
33.75,30.0
33.73,30.0
33.72,30.0
33.7,30.0
33.69,30.0
33.67,30.0
33.66,30.0
33.68,40.0
33.71,40.0
33.73,40.0
33.75,40.0
33.74,30.0
33.73,30.0
33.71,30.0
33.7,30.0
33.65,20.0
33.6,20.0
33.54,20.0
33.49,20.0
33.41,10.0
33.32,10.0
33.27,20.0
33.22,20.0
33.18,20.0
33.13,20.0
33.08,20.0
33.03,20.0
32.99,20.0
32.94,20.0
32.89,20.0
32.85,20.0
32.8,20.0
32.76,20.0
32.71,20.0
32.67,20.0
32.62,20.0
32.58,20.0
32.53,20.0
32.49,20.0
32.45,20.0
32.41,20.0
32.36,20.0
32.35,30.0
32.35,30.0
32.31,20.0
32.26,20.0
32.22,20.0
32.18,20.0
32.11,10.0
32.03,10.0
31.96,10.0
31.92,20.0
31.91,30.0
31.91,30.0
31.9,30.0
31.9,30.0
31.92,40.0
31.95,40.0
31.97,40.0
32.0,40.0
32.03,40.0
32.05,40.0
32.08,40.0
32.1,40.0
32.13,40.0
32.15,40.0
32.18,40.0
32.2,40.0
32.23,40.0
32.19,20.0
32.15,20.0
32.08,10.0
32.01,10.0
31.94,10.0
31.88,10.0
31.81,10.0
31.77,20.0
31.74,20.0
31.7,20.0
31.67,20.0
31.63,20.0
31.6,20.0
31.56,20.0
31.5,10.0
31.43,10.0
31.37,10.0
31.31,10.0
31.24,10.0
31.18,10.0
31.12,10.0
31.06,10.0
30.99,10.0
30.96,20.0
30.93,20.0
30.87,10.0
30.81,10.0
30.75,10.0
30.69,10.0
30.63,10.0
30.57,10.0
30.54,20.0
30.51,20.0
30.48,20.0
30.48,30.0
30.48,30.0
30.48,30.0
30.48,30.0
30.47,30.0
30.47,30.0
30.47,30.0
30.47,30.0
30.44,20.0
30.41,20.0
30.38,20.0
30.36,20.0
30.33,20.0
30.3,20.0
30.27,20.0
30.24,20.0
30.22,20.0
30.19,20.0
30.13,10.0
30.08,10.0
30.03,10.0
29.97,10.0
29.95,20.0
29.92,20.0
29.87,10.0
29.82,10.0
29.76,10.0
29.71,10.0
29.66,10.0
29.63,20.0
29.61,20.0
29.58,20.0
29.56,20.0
29.53,20.0
29.51,20.0
29.49,20.0
29.46,20.0
29.44,20.0
29.41,20.0
29.41,30.0
29.42,30.0
29.42,30.0
29.42,30.0
29.42,30.0
29.42,30.0
29.42,30.0
29.43,30.0
29.43,30.0
29.4,20.0
29.38,20.0
29.36,20.0
29.33,20.0
29.31,20.0
29.29,20.0
29.26,20.0
29.24,20.0
29.22,20.0
29.17,10.0
29.13,10.0
29.08,10.0
29.03,10.0
28.99,10.0
28.94,10.0
28.9,10.0
28.85,10.0
28.81,10.0
